id,description,sourceTypes,generatedPlateCount,storyLinkCount,metadataUseCount,presentationGroup,purposeTags,seasonTags,climateTags,formality,eraTags,settingTags,activityTags,silhouetteTags,footwearTags,componentTags,colorPalette,materials,patterns,detailTags,coverageTags,qualityFlags
existing_outfit_001,"Thick insulated bomber jacket zipped up, wool scarf wrapped at neck, warm winter gloves, snow pants, insulated winter boots, small backpack with straps.",generated_plate|metadata,1,6,1,female,casual|exploration|protective|travel,snow|winter,arctic|cold|mild,protective,modern,arctic|city,hiking,protective_suit,winter_boots,jacket|parka|pants|boots,,wool,,backpack|scarf|gloves,closed_toe|gloves_required|insulated|warm,
existing_outfit_002,Light floral jacket (hip-length) with a stand collar; breathable pale shirt underneath; comfortable shorts or lightweight pants suitable for heat; sturdy sneakers with thick soles; ankle socks; small crossbody pouch for essentials.,generated_plate|metadata,2,5,1,female,casual|exploration|travel,demi|summer,desert|hot|mild,casual,modern,city|desert,hiking,separates,sneakers,jacket|shirt|pants|shorts|sneakers,brown,cotton,floral,satchel,closed_toe,
existing_outfit_003,"Floral bomber jacket (lightweight, pastel flowers), light shirt underneath, comfortable leggings, bright sneakers, slim utility wrist-communicator band.",generated_plate|metadata,2,5,1,female,casual|sci_fi,demi,mild,casual,future|modern,city|future_city,,separates,sneakers,jacket|shirt|pants|sneakers,,cotton,floral,pockets|wrist_device,closed_toe,
existing_outfit_004,"Teal satin bomber jacket with ribbed cuffs and waistband, white T-shirt with a small star print, navy leggings, white sneakers with pastel laces, thin yellow wristband.",generated_plate|metadata,1,4,1,female,casual,demi,mild,casual,modern,city,,separates,sneakers,jacket|shirt|pants|sneakers,white|blue|yellow,cotton|satin,star_print,wrist_device,closed_toe,
existing_outfit_005,"Child-sized light-gray space jumpsuit with colorful stitched patches on elbows and knees, a teal zipper front, and a soft ribbed collar; slim utility belt; white-and-teal sneakers with velcro straps; small wrist communicator band.",generated_plate|metadata,2,4,1,female,casual|sci_fi|space|work,all_season,mild|space_controlled,costume,future|modern,city|future_city|space_station,repairing,jumpsuit,sneakers,pants|jumpsuit|sneakers,white|gray|blue,,,pockets|belt|patch|wrist_device,closed_toe,
existing_outfit_006,"A white floral-patterned bomber jacket over a simple teal shirt, dark flexible leggings, and sturdy white space-boots.",generated_plate|metadata,2,4,1,female,casual|exploration|sci_fi|space|travel,demi,mild|space_controlled,costume,future|modern,city|space_station,hiking,separates,space_boots,jacket|shirt|pants|boots,white|blue,cotton,floral,,closed_toe,
existing_outfit_007,"Yellow striped t-shirt, blue denim overalls with a small pocket on the chest, and sturdy red walking boots.",generated_plate|metadata,1,3,1,female,casual|exploration|historical|travel|work,demi,mild,costume,medieval|modern,castle|city,hiking|repairing,coveralls,hiking_boots,shirt|pants|overalls|boots,blue|yellow|red,cotton|denim,striped,pockets,closed_toe,
existing_outfit_008,"lightweight khaki short-sleeve button-up shirt, dark teal knee-length shorts, sturdy brown ankle boots, thin utility belt, small canvas crossbody satchel",generated_plate|metadata,1,3,1,female,casual|exploration|official|travel|work,demi|summer,hot|mild|tropical,smart_casual,modern,city|jungle,hiking|repairing,separates,hiking_boots,shirt|shorts|boots,blue|green|brown,cotton|canvas,,pockets|belt|satchel|buttons,closed_toe,
existing_outfit_009,"Short space jacket with high collar in teal fabric, dark utility pants with knee patches, sturdy ankle boots with light soles, slim belt with small pouches, thin fingerless gloves",generated_plate|metadata,2,3,1,female,casual|protective|sci_fi|space,snow|winter,cold|mild|space_controlled,costume,future|modern,city|space_station,,protective_suit,hiking_boots,jacket|pants|boots,blue,,,pockets|belt|satchel|gloves|patch,closed_toe|gloves_required|insulated|warm,
existing_outfit_010,"Lightweight waterproof hooded jacket, long pants, sneakers.",generated_plate|metadata,2,3,1,female,casual|protective,demi|rain,mild,protective,modern,city,,protective_suit,sneakers,jacket|pants|sneakers,,waterproof_fabric,,hood,closed_toe|waterproof,too_generic
existing_outfit_011,"lightweight hooded jacket, long pants, sturdy closed-toe hiking shoes, small backpack",generated_plate|metadata,2,3,1,female,casual|exploration|historical|travel,demi,mild,costume,medieval|modern,castle|city,hiking,separates,hiking_boots,jacket|pants,,,,hood|backpack,closed_toe,
existing_outfit_012,"Lightweight rain jacket, long pants, sturdy hiking shoes, small backpack worn on both shoulders",generated_plate|metadata,2,3,1,female,casual|exploration|historical|protective|travel,demi|rain,hot|mild|tropical,costume,medieval|modern,castle|city|jungle,hiking,protective_suit,formal_shoes,jacket|raincoat|pants,,waterproof_fabric,,backpack,closed_toe|waterproof,
existing_outfit_013,"Light sand-colored long-sleeve tunic, breathable beige trousers, sturdy brown ankle boots, pale scarf wrapped loosely around the neck, small tan crossbody canteen pouch.",generated_plate|metadata,1,3,1,female,casual|exploration|historical|protective,snow|winter,cold|desert|hot|mild,casual,medieval|modern,castle|city|desert,hiking,separates,hiking_boots,tunic|pants|boots,brown,wool,,satchel|scarf|canteen,closed_toe|insulated|warm,
existing_outfit_014,"lightweight long-sleeve adventure shirt in khaki, breathable cargo shorts, sturdy hiking boots, knee-high socks, simple canvas belt, small crossbody satchel with flap",generated_plate|metadata,1,3,1,female,casual|exploration|historical|travel,demi|summer,hot|mild|tropical,costume,medieval|modern,castle|city|jungle,hiking,separates,hiking_boots,shirt|pants|shorts|boots,green,cotton|canvas,,belt|satchel,closed_toe,
existing_outfit_015,"Cozy knit sweater, knee-length skirt, warm tights, comfortable lace-up ankle boots, small crossbody satchel bag.",generated_plate|metadata,2,3,1,female,casual|exploration|travel,demi,mild,casual,modern,city|library,hiking|investigating,skirt_set,hiking_boots,sweater|skirt|boots,,wool|canvas,,satchel,closed_toe,
existing_outfit_016,"Teal insulated winter parka with a high collar and hood, thick knitted scarf in warm colors, dark snow pants, white sneakers, warm gloves; a folded paper map tucked into a parka pocket with a corner visible.",generated_plate|metadata,2,3,1,female,casual|exploration|protective|travel,snow|winter,cold|hot|mild|tropical,protective,modern,city|jungle,hiking,protective_suit,sneakers,jacket|parka|pants|sneakers,white|blue,wool,,hood|pockets|scarf|gloves,closed_toe|gloves_required|insulated|warm,
existing_outfit_017,"Light floral bomber jacket (zippered), breathable tan hiking pants, sturdy ankle-high desert boots, small canteen slung crossbody with a thin strap.",generated_plate|metadata,2,3,1,female,casual|exploration|historical|travel,demi,desert|hot|mild,costume,medieval|modern,castle|city|desert,hiking,separates,hiking_boots,jacket|pants|boots,brown,,floral,satchel|canteen,closed_toe,
existing_outfit_018,"Floral bomber jacket, light shirt, comfortable shorts, sturdy walking sneakers, small crossbody pouch",generated_plate|metadata,1,3,1,female,casual|historical,demi|summer,mild,costume,medieval|modern,castle|city,,separates,sneakers,jacket|shirt|shorts|sneakers,,cotton,floral,satchel,closed_toe,
existing_outfit_019,"Lightweight zip-up jacket with a colorful floral print, comfortable shorts, sturdy lace-up walking shoes, ankle socks, small backpack worn on both shoulders.",generated_plate|metadata,2,3,1,female,casual|exploration|historical|travel,demi|summer,hot|mild|tropical,costume,medieval|modern,castle|city|jungle,hiking,separates,formal_shoes,jacket|shorts,,,floral,backpack,closed_toe,
existing_outfit_020,"Floral bomber jacket, comfortable leggings, white sneakers.",generated_plate|metadata,2,3,1,female,casual,demi,mild,casual,modern,city,,separates,sneakers,jacket|pants|sneakers,white,,floral,,closed_toe,too_generic
